r2,mse,rmse,mae,model,seed
-0.012978820358861137,104.44553752790848,10.219859956374572,5.6118043160051805,multitask_lasso__sinkhorn,10
-0.009215112752748805,103.18769072909899,10.158134214957931,5.590354689180847,multitask_elasticnet__sinkhorn,10
-0.03196145588786392,97.65385191403077,9.881996352662288,5.887081767655314,multioutput_gp__sinkhorn,10
0.09604875952311662,71.71792927447072,8.468643886388818,4.8224574902288575,multioutput_svr__sinkhorn,10
0.27925566233459853,39.71313766892818,6.301836055383238,4.371175805511333,gbdt__sinkhorn,10
0.026719975003492963,88.39488132167635,9.401855206376895,5.091916581819149,multitask_gp__sinkhorn,10
0.2512333366145403,37.4502562798487,6.11966145140797,4.214553690142946,random_forest__mice_iterativeimputer,10
-0.10817875575626937,98.85397636035778,9.942533699231689,5.915101562732185,ridge__mice_iterativeimputer,10
-0.11135510380525263,100.14504493289893,10.007249618796312,5.9307483277704005,multitask_lasso__mice_iterativeimputer,10
-0.11000987691850833,99.5617507944502,9.978063479175216,5.923573438141909,multitask_elasticnet__mice_iterativeimputer,10
-0.4216408482947281,105.83468948902157,10.287598820376967,6.864760348059591,multioutput_gp__mice_iterativeimputer,10
-0.27619288927171,74.82727726071747,8.650276137830367,5.093353764417974,multioutput_svr__mice_iterativeimputer,10
-0.04051863731400926,60.24974333686877,7.762070814986731,5.349895395668146,gbdt__mice_iterativeimputer,10
-0.1865136316259244,113.42012757434438,10.649888617931381,6.442161395755318,multitask_gp__mice_iterativeimputer,10
-0.5576096527423343,53.301403570402265,7.300781024685117,5.336585945939511,random_forest__knn插补,10
-0.6042124294353662,111.86237409574558,10.576501032749233,6.443896416841927,ridge__knn插补,10
-0.6042776309442224,115.42044335347552,10.743390682343984,6.506364094597053,multitask_lasso__knn插补,10
-0.6039645034786186,113.79020803230932,10.667249318934536,6.477555701069062,multitask_elasticnet__knn插补,10
-0.15299352529797283,99.58825239435302,9.979391383964908,6.243863278726165,multioutput_gp__knn插补,10
-0.7740898928832926,76.67995314170344,8.756709036030799,5.650739466888925,multioutput_svr__knn插补,10
-0.7048471282224091,52.41316998170006,7.23969405304534,5.553660680878953,gbdt__knn插补,10
-0.7335187382419253,92.967794569118,9.641980842602727,5.840003957542553,multitask_gp__knn插补,10
-2.511428483763974,87.87159327478201,9.373984919701014,7.855835835741502,random_forest__mida,10
-3.0105816440712543,185.41013464889724,13.61653901139703,9.939842326987904,ridge__mida,10
-3.020537698388157,187.9508500341315,13.70951676880449,9.969564834335767,multitask_lasso__mida,10
