Literature,Specimen ID,Country,Specimen Type,Specimen Age (days),Rebar Present,UPV Device Brand & Model,Transducer Diameter (mm),Transducer Frequency (kHz),UPV Standard,Test Type,No. Tests,"Average Velocity, Vp (m/s)",RH Device Brand & Model,RH Standard,Orientation,No. Tests,"Median Rebound Number, RN",Core Specimen ,Height (mm),Width/Diameter (mm),Max Aggregate Size (mm),W/C Ratio,Strength Class,"Design Strength, fck (MPa)","fc,core (MPa)","fc,ref (MPa)","fc,cyl (MPa)",Notes
Cianfrone & Facaoaru (1979),C50_107,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,40.0,Cube,150.0,150.0,30,,,,58.25,58.25,48.35,
Cianfrone & Facaoaru (1979),C51_43,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5160,PROCEQ Original Schmidt Type N,,Horizontal,18,44.0,Cube,150.0,150.0,30,,,,70.90,70.90,59.80,
Cianfrone & Facaoaru (1979),C52_76,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,PROCEQ Original Schmidt Type N,,Horizontal,18,37.0,Cube,150.0,150.0,30,,,,50.60,50.60,42.00,
Cianfrone & Facaoaru (1979),C53_2,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5030,PROCEQ Original Schmidt Type N,,Horizontal,18,40.0,Cube,150.0,150.0,30,,,,56.68,56.68,47.05,
Cianfrone & Facaoaru (1979),C54_20a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4930,PROCEQ Original Schmidt Type N,,Horizontal,18,35.0,Cube,150.0,150.0,30,,,,44.42,44.42,36.87,
Cianfrone & Facaoaru (1979),C55_20b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5140,PROCEQ Original Schmidt Type N,,Horizontal,18,40.0,Cube,150.0,150.0,30,,,,55.11,55.11,45.74,
Cianfrone & Facaoaru (1979),C56_89,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5000,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,42.17,42.17,35.00,
Cianfrone & Facaoaru (1979),C57_106,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,PROCEQ Original Schmidt Type N,,Horizontal,18,39.0,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,
Cianfrone & Facaoaru (1979),C58_36,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5240,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,62.86,62.86,52.17,
Cianfrone & Facaoaru (1979),C59_44,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5250,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,44.42,44.42,36.87,
Cianfrone & Facaoaru (1979),C60_82,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,
Cianfrone & Facaoaru (1979),C61_60,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5190,PROCEQ Original Schmidt Type N,,Horizontal,18,42.0,Cube,150.0,150.0,30,,,,58.25,58.25,48.35,
Cianfrone & Facaoaru (1979),C62_130,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5090,PROCEQ Original Schmidt Type N,,Horizontal,18,42.0,Cube,150.0,150.0,30,,,,55.51,55.51,46.07,
Cianfrone & Facaoaru (1979),C63_111,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5290,PROCEQ Original Schmidt Type N,,Horizontal,18,41.0,Cube,150.0,150.0,30,,,,56.29,56.29,46.72,
Cianfrone & Facaoaru (1979),C64_6a,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4660,PROCEQ Original Schmidt Type N,,Horizontal,18,26.0,Cube,150.0,150.0,30,,,,24.91,24.91,20.67,
Cianfrone & Facaoaru (1979),C65_6b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,PROCEQ Original Schmidt Type N,,Horizontal,18,37.0,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,
Cianfrone & Facaoaru (1979),C66_114a,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4780,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,35.21,35.21,29.22,
Cianfrone & Facaoaru (1979),C67_114b,Italy,Cube - Laboratory,9,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,47.07,47.07,39.07,
Cianfrone & Facaoaru (1979),C68_114c,Italy,Cube - Laboratory,30,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,49.43,49.43,41.02,
Cianfrone & Facaoaru (1979),C69_23,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5090,PROCEQ Original Schmidt Type N,,Horizontal,18,32.0,Cube,150.0,150.0,30,,,,43.05,43.05,35.73,
Cianfrone & Facaoaru (1979),C70_49,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,PROCEQ Original Schmidt Type N,,Horizontal,18,39.0,Cube,150.0,150.0,30,,,,55.51,55.51,46.07,
Cianfrone & Facaoaru (1979),C71_29,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,40.60,40.60,33.70,
Cianfrone & Facaoaru (1979),C72_65,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4920,PROCEQ Original Schmidt Type N,,Horizontal,18,31.0,Cube,150.0,150.0,30,,,,34.72,34.72,28.81,
Cianfrone & Facaoaru (1979),C73_39,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5070,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,49.82,49.82,41.35,
Cianfrone & Facaoaru (1979),C74_33a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4800,PROCEQ Original Schmidt Type N,,Horizontal,18,29.0,Cube,150.0,150.0,30,,,,35.60,35.60,29.55,
Cianfrone & Facaoaru (1979),C75_33b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,44.82,44.82,37.20,
Cianfrone & Facaoaru (1979),C76_57,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4980,PROCEQ Original Schmidt Type N,,Horizontal,18,36.0,Cube,150.0,150.0,30,,,,45.99,45.99,38.17,
Cianfrone & Facaoaru (1979),C77_115,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,PROCEQ Original Schmidt Type N,,Horizontal,18,32.0,Cube,150.0,150.0,30,,,,49.82,49.82,41.35,
Cianfrone & Facaoaru (1979),C78_112,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,57.47,57.47,47.70,
Cianfrone & Facaoaru (1979),C79_37a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4790,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,30.30,30.30,25.15,
Cianfrone & Facaoaru (1979),C80_37b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5020,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,40.60,40.60,33.70,
Cianfrone & Facaoaru (1979),CM1_69,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,PROCEQ Original Schmidt Type N,,Horizontal,18,41.0,Cube,150.0,150.0,30,,,,56.29,56.29,46.72,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM2_110,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,PROCEQ Original Schmidt Type N,,Horizontal,18,41.0,Cube,150.0,150.0,30,,,,54.72,54.72,45.42,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM3_71,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4960,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,32.56,32.56,27.02,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM4_116,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4120,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,29.52,29.52,24.50,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM5_70,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,40.99,40.99,34.02,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM6_71,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4960,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,32.56,32.56,27.02,Cubes were cast using concrete of different cement dosages and aggregate type.
Cianfrone & Facaoaru (1979),CM7_55,Italy,Cube - Laboratory,,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,44.03,44.03,36.55,Cubes were cast using concrete of different cement dosages and aggregate type.
