model,r2,mse,rmse,mae,seed_count
ridge__vae,-0.004884147865928499,103.554961775566,10.176192779947893,5.563565078898494,10
multitask_elasticnet__hmc_vae,-0.0074321780596807,105.04897861883042,10.24934001813312,5.590264744871569,10
multitask_elasticnet__hh_vaem,-0.0075580659441411,105.00489797532707,10.247189686084228,5.5895949398056475,10
multitask_elasticnet__h_vae,-0.0076866707981791986,105.0022857755951,10.247062065568189,5.588495899268435,10
multitask_elasticnet__hver,-0.008074767697775551,104.91260678206444,10.242685517045695,5.588221457171822,10
multitask_elasticnet__vanilla,-0.0084919189171256,105.05489568018461,10.249629024231377,5.58824061283553,10
multitask_elasticnet__sinkhorn,-0.00921511275274875,103.18769072909897,10.158134214957933,5.590354689180847,10
multitask_elasticnet__vae,-0.00937361574350845,105.04983224315848,10.249379150508114,5.587589322205122,10
multioutput_gp__missforest,-0.010311624877324111,98.7407165335151,9.936836344305721,5.894942234193211,10
multitask_lasso__hmc_vae,-0.011126093344114399,106.28247575470263,10.309338885323253,5.6115625244899014,10
multitask_lasso__hh_vaem,-0.011254104472924801,106.23813948143325,10.307188660130517,5.611205840048296,10
multitask_lasso__h_vae,-0.011385606910989,106.23584260851229,10.307077089603123,5.610221706803208,10
multitask_lasso__hver,-0.011776694971773149,106.14686389709593,10.302760006492187,5.6104729947782115,10
multitask_lasso__vanilla,-0.012192535124827,106.28744116417968,10.309580039198506,5.609403504648002,10
multitask_lasso__sinkhorn,-0.01297882035886105,104.44553752790848,10.219859956374572,5.6118043160051805,10
multitask_lasso__vae,-0.013074449067737002,106.28170968511606,10.309299339351705,5.6090868481627725,10
random_forest__softimpute,-0.019631018513558453,61.23223588100278,7.82417716014545,5.502425359447938,10
ridge__rfe_missforest,-0.027217584485808338,101.59201312617306,10.079286334319303,5.695288019168083,10
multioutput_gp__h_vae,-0.027619359571867553,97.59220447342504,9.878876676359038,5.8623756515867935,10
multioutput_gp__hmc_vae,-0.028345390877004252,97.59825904117419,9.879183115304572,5.869579859707179,10
multioutput_gp__hh_vaem,-0.02873244775498825,97.61665558464527,9.88011414829287,5.868882796542194,10
multioutput_gp__vanilla,-0.028820637888203698,97.60656327623637,9.879603362919678,5.8621762970802385,10
multioutput_gp__hver,-0.029559895095892054,97.64225615838247,9.881409615217137,5.86542794076836,10
multioutput_gp__vae,-0.030570043208614152,97.62680022724797,9.880627505482563,5.862008157450064,10
