model,r2,mse,rmse,mae,seed_count
multitask_gp__knn插补,-0.7335187382419253,92.967794569118,9.641980842602727,5.840003957542553,1
multitask_gp__vae_miwae,-0.1219797016649645,93.14085621652832,9.650951052436662,5.267080448308511,1
ridge__hyperimpute,-0.1596648370008882,96.26499252831738,9.811472495416648,5.948367625301993,1
multioutput_gp__vanilla,-0.0282078597633679,97.59041838937672,9.878786281187416,5.858429810710639,1
multioutput_gp__h_vae,-0.0275279368642774,97.59802260140825,9.879171149514937,5.859139211800734,1
multioutput_gp__hmc_vae,-0.0282643868287783,97.60071538466906,9.879307434464678,5.876704079510279,1
multioutput_gp__hh_vaem,-0.0290528105716431,97.61592999835383,9.880077428763087,5.871690692256335,1
multioutput_gp__hver,-0.0290224636877506,97.63399641665022,9.88099167172254,5.867049529668094,1
multioutput_gp__vae,-0.0299181866188513,97.63806846495147,9.88119772421094,5.863129344558692,1
multioutput_gp__sinkhorn,-0.0319614558878639,97.65385191403077,9.881996352662288,5.887081767655314,1
multitask_elasticnet__hyperimpute,-0.1728096959016301,97.98943523470818,9.898961321002734,5.999485147777953,1
multioutput_gp__vae_miwae,-0.062581349821627,98.42244427556636,9.920808650284831,6.032985578801611,1
ridge__vae_miwae,-0.1043857928020401,98.4525706250552,9.922326875539587,5.671745116308511,1
ridge__mice_iterativeimputer,-0.1081787557562693,98.85397636035778,9.942533699231689,5.915101562732185,1
multitask_lasso__hyperimpute,-0.1840959615839601,99.44212550453054,9.972067263337657,6.043261519548871,1
multitask_elasticnet__mice_iterativeimputer,-0.1100098769185083,99.5617507944502,9.978063479175216,5.923573438141909,1
multioutput_gp__knn插补,-0.1529935252979728,99.58825239435302,9.979391383964908,6.243863278726165,1
random_forest__低秩矩阵,-2.797055403417449,99.6521455527814,9.982592125935096,7.964921029472764,1
multitask_lasso__mice_iterativeimputer,-0.1113551038052526,100.14504493289893,10.007249618796312,5.9307483277704005,1
multitask_elasticnet__vae_miwae,-0.1082858314094021,100.24663180446043,10.012323996178932,5.709412888117021,1
multioutput_gp__knn_based_method_matimputer,-0.0795989357210913,100.591696371348,10.029541184488352,6.182954972595955,1
ridge__sinkhorn,-0.004655131420423,101.66777605788668,10.08304398769968,5.563576417242781,1
multitask_lasso__vae_miwae,-0.111606186726079,101.7541688581175,10.087327141424408,5.741583554606384,1
multitask_elasticnet__sinkhorn,-0.0092151127527488,103.187690729099,10.158134214957933,5.590354689180847,1
ridge__vae,-0.0037908531118471,103.39434430972167,10.16830095491482,5.563371552457447,1
ridge__hver,-0.0032515560972889,103.4051937828326,10.168834435805934,5.565015861074468,1
ridge__h_vae,-0.0034617617111003,103.45930558131948,10.171494756490782,5.564148312138298,1
ridge__hh_vaem,-0.0030891252829099,103.53453432033318,10.175192102379846,5.566243817882977,1
ridge__vanilla,-0.0043019167045417,103.5446447618545,10.175688908464846,5.563642182351065,1
ridge__hmc_vae,-0.0023220941337042,103.61081577460246,10.178939815845384,5.568009053521276,1
multioutput_gp__hyperimpute,-0.2313034762139049,104.1694410089086,10.206343175148904,6.587623062904884,1
gbdt__miwae,-1.9195438314177575,104.23890192931438,10.209745439006516,7.564795411622841,1
multitask_lasso__sinkhorn,-0.0129788203588611,104.44553752790848,10.219859956374572,5.6118043160051805,1
multitask_elasticnet__vae,-0.0082791554601503,104.89201538218464,10.241680300721391,5.586975430223404,1
multitask_elasticnet__hver,-0.0077424104977925,104.90389226532172,10.242260115097729,5.588920301500001,1
multitask_elasticnet__h_vae,-0.0079506968651967,104.95738545309456,10.244871177964834,5.5879668445851065,1
multitask_elasticnet__hh_vaem,-0.0075682061767616,105.03010469694212,10.24841961947998,5.590402329691488,1
multitask_elasticnet__vanilla,-0.0088004614144376,105.0397509264826,10.248890229019072,5.587658456819148,1
multitask_elasticnet__hmc_vae,-0.0068046040183504,105.10627059732948,10.252134928751644,5.592339667882978,1
multioutput_gp__mice_iterativeimputer,-0.4216408482947281,105.83468948902156,10.287598820376967,6.864760348059591,1
