model,r2,mse,rmse,mae,seed_count
lightgbm__hyperimpute,-0.09792929925273,35.69667356258296,5.974669326630802,4.427897978974631,10
hist_gbr__missforest,-0.0904365989348755,36.086910362835496,6.007238164317734,4.2879067536818,10
lightgbm__vanilla,0.3031359973108244,36.718007330561335,6.056735426977999,4.107796000859615,10
hist_gbr__knn_based_method_matimputer,0.18238669187440765,37.01994310194685,6.075164164872129,3.9524004171866216,10
hist_gbr__mice_iterativeimputer,0.10889163616421524,37.261499556144386,6.104219815516507,4.283910324440564,10
hist_gbr__knn插补,-0.737011274643525,37.513775128235366,6.124446773937028,4.811745981051689,10
lightgbm__vae,0.30840599210709796,37.5840519430784,6.130325053415001,4.094737631308252,10
erc_xgb__softimpute,0.08814233345783648,37.88983276257345,6.141172172966308,4.580212261980523,10
lightgbm__堆叠,0.02165740038339088,37.95991953092987,6.138688648041021,4.4022238611706035,10
sst_xgb__hmc_vae,0.299277335550263,38.8140293488148,6.197790144300519,4.105801475109577,10
xgboost__softimpute,-0.00027015573667618,39.05143017008982,6.249114350857232,4.771195260721309,10
hist_gbr__sinkhorn,0.269924718411164,39.6054996270648,6.293290047905372,4.2082751981864215,10
lightgbm__hmc_vae,0.2957526174385287,39.73230359636829,6.301745410902059,4.186863936126869,10
lightgbm__h_vae,0.3004078802644496,39.89582729057668,6.316245704241191,4.190381948011089,10
lightgbm__hh_vaem,0.2962484911944292,39.92834285763089,6.318048712735395,4.197831654853947,10
lightgbm__sinkhorn,0.2647161265974669,40.66891610441612,6.37721852412289,4.314834215965647,10
lightgbm__rfe_missforest,0.23474186835684935,41.57190858697945,6.447628100541094,4.442711474018105,10
sst_xgb__h_vae,0.3029798912633796,41.81812913048067,6.440655211225187,4.18975152616795,10
lightgbm__gtmcc,0.3074888969902178,41.9681476251769,6.478282768232404,4.31749490629161,10
xgboost__rfe_missforest,0.20528774942351125,42.24797235667143,6.499843990837322,4.543332329392324,10
hist_gbr__gtmcc,0.2684791691384142,42.80695114409776,6.542702128639034,4.531398975495465,10
xgboost__knn插补,-0.71085681939318,42.95325817915645,6.551894560362598,4.966083857236767,10
sst_xgb__vae_miwae,0.23810048695149985,44.34515716671605,6.628222926010653,4.340078429119395,10
sst_xgb__hver,0.30007766749517917,44.902862348990276,6.678406662921736,4.338111519591635,10
erc_xgb__rfe_missforest,0.20014340345690068,44.992879779925886,6.683870514931316,4.6693557522399525,10
sst_xgb__vanilla,0.271312153985232,45.039135435136686,6.691750195854466,4.373827752519029,10
sst_xgb__rfe_missforest,0.2149311322362676,45.47236246699852,6.708509224657972,4.600415648995321,10
lightgbm__hver,0.28399565065284516,45.82213199832775,6.767311203670104,4.501793404832311,10
sst_xgb__gtmcc,0.2910716299242878,47.14487025415485,6.849213063705025,4.70469504675091,10
erc_xgb__mice_iterativeimputer,0.040265898656464724,47.60682667204283,6.895017366267875,4.757055355975158,10
lightgbm__knn插补,-0.7488691550526689,48.169097137303226,6.938977136515848,5.33177658461461,10
sst_xgb__vae,0.2747085845396139,48.305075088634084,6.91409860512919,4.469477559299589,10
hist_gbr__softimpute,0.0646951960995131,50.25528554287455,7.089096243025237,5.084160387825194,10
sst_xgb__hyperimpute,0.02378242301973913,50.6402593232725,7.0682065652297466,4.910996470107778,10
erc_xgb__堆叠,0.08428380426892064,50.87701827728089,7.1014641967923495,4.73976867075787,10
lightgbm__softimpute,-0.028956808419992996,51.55788124288095,7.180381692005025,5.212700005351794,10
xgboost__miwae,-1.7560260519697466,52.28245027676083,7.230660431576138,5.939340222634574,10
sst_xgb__hh_vaem,0.2578967873923871,52.80273937008908,7.211280394150828,4.614618280399402,10
lightgbm__knn_based_method_matimputer,0.03656621031045533,53.9024736262661,7.335521988756533,4.947747121294255,10
erc_xgb__gtmcc,0.3032747244678407,54.22617018493797,7.340572441608221,4.8408211704170165,10
erc_xgb__miwae,-1.6049313977734478,54.34504985505546,7.36688758922872,5.914163882220104,10
sst_xgb__knn_based_method_matimputer,0.1923356767092777,55.26524643954649,7.339654302885469,4.688237854028005,10
erc_xgb__knn_based_method_matimputer,0.10902104444739365,55.56987732786856,7.4231591677836235,4.653865023020326,10
sst_xgb__softimpute,0.004079233104996179,56.386328097751075,7.485090730157012,5.258474842077823,10
xgboost__knn_based_method_matimputer,0.0272855319845701,59.27724867376325,7.672612913691668,4.653361381295176,10
erc_xgb__knn插补,-0.7723778602722591,59.338890192939104,7.687573085775007,5.671307929186586,10
xgboost__mice_iterativeimputer,-0.3964267017246616,60.38395793413307,7.770711546192734,5.264942930109957,10
hist_gbr__miwae,-1.758435562837024,61.50960736533209,7.842806089999426,6.279766196505677,10
lightgbm__mida,-1.2792023471949097,65.24150328096292,8.077221259874149,5.897700336338376,10
sst_xgb__knn插补,-0.795915233420037,65.25802193622722,8.074460530715596,5.80286873418336,10
sst_xgb__mice_iterativeimputer,-0.06697872429424698,66.678677247098,8.081103294745857,5.507235070467428,10
hist_gbr__低秩矩阵,-2.533169091536224,68.64776928766574,8.285394938544917,6.696385458470678,10
xgboost__低秩矩阵,-2.5319648976405227,69.49822705224418,8.33655966524826,6.718248421744784,10
lightgbm__miwae,-1.7751016381362064,70.08550347718577,8.371708516019044,6.512285267204696,10
xgboost__missforest,-0.2506468892846645,70.82263993740123,8.41561880894098,5.356923657161153,10
xgboost__gtmcc,0.18252251957961713,71.11873333052435,8.433192357021412,5.600467893161313,10
xgboost__gain,-2.632967721968969,72.46642996069005,8.51272165412978,6.756775823529099,10
sst_xgb__sinkhorn,0.1869819804548821,73.31599062617776,8.553845947384248,5.139570933779799,10
hist_gbr__gain,-2.4502155841499773,73.444018432351,8.569948566493908,6.709639686175732,10
lightgbm__gain,-2.446342642361041,73.574063177591,8.577532464385722,6.642833691948998,10
sst_xgb__堆叠,-0.04995304549169881,73.94513553095406,8.553617458414164,5.508602944749002,10
erc_xgb__gain,-2.600870951210017,77.51594891594135,8.80239077363718,6.975866428300057,10
lightgbm__低秩矩阵,-2.657701914410265,78.7115800548676,8.871954691885412,7.197089556484687,10
sst_xgb__missforest,-0.13102148397553517,86.39784129971338,9.272001093401622,5.691844232865322,10
erc_xgb__低秩矩阵,-2.6186574147557984,95.52513941061682,9.764815950716594,7.76412514577356,10
xgboost__mida,-1.3686667366446195,96.57575358777271,9.827296351885025,7.07154968857172,10
sst_xgb__miwae,-1.719360208038297,99.68651096546101,9.920198420353705,7.238345781382344,10
hist_gbr__mida,-1.3232058996629916,101.04991359713834,10.052358608661867,7.061519864887846,10
sst_xgb__gain,-2.635039665025819,106.22254162745189,10.255159595283752,7.752093215881958,10
erc_xgb__mida,-1.38058139021433,114.02016042278838,10.547280818132524,7.387186659660981,10
sst_xgb__低秩矩阵,-2.792682792965098,127.15636032765266,11.258531323991564,8.225899602741189,10
sst_xgb__mida,-1.6019027818318132,177.25736919456392,13.180487958983516,8.310984089709638,10
hmlasso__knn插补,-14.4130590787093,3629.3615397077947,60.244182063649326,36.287008413086156,10
hmlasso__vae_miwae,-14.611176042871776,3643.932124894731,60.36498291149739,36.79585054280385,10
hmlasso__knn_based_method_matimputer,-15.600342392822274,3679.8105670882587,60.661385309452385,37.456447156317296,10
hmlasso__gain,-15.672844331334087,3690.276902605537,60.74764935868332,37.62016202277772,10
hmlasso__missforest,-15.431399904285731,3726.6640914549266,61.04640932483193,37.63869831264095,10
hmlasso__rfe_missforest,-16.549772738805338,3735.727527244088,61.120598223872186,38.1967032127947,10
hmlasso__vae,-16.564576501300802,3735.996122928985,61.122795353532446,38.21305552963692,10
hmlasso__hver,-16.568203233789585,3736.40035284038,61.12610205539444,38.21627131270445,10
hmlasso__hmc_vae,-16.56710057733515,3736.505260616098,61.12696017609947,38.21570947470049,10
hmlasso__h_vae,-16.56910441268666,3736.542302686127,61.12726316970694,38.21758019301764,10
hmlasso__vanilla,-16.568692072083497,3736.612010434492,61.12783335252584,38.21716875529446,10
hmlasso__hh_vaem,-16.573565081380455,3736.7232438579545,61.128743188753845,38.22020364351405,10
hmlasso__sinkhorn,-16.540557219476646,3736.955411712912,61.13064216669828,38.19780864199391,10
hmlasso__mice_iterativeimputer,-17.637973746905068,3803.9729367743194,61.67635638374172,38.6928286069333,10
hmlasso__hyperimpute,-17.57733007051112,3806.2431974338483,61.69475826546246,38.73420759089365,10
hmlasso__堆叠,-16.1103794917832,3813.097666845531,61.7467574931418,38.102233460886744,10
hmlasso__低秩矩阵,-15.32787284823363,3817.9935827424206,61.78991489508964,37.51715136595633,10
hmlasso__miwae,-15.584578864898855,3823.06032034713,61.830901015164976,37.70609974775749,10
hmlasso__softimpute,-17.775177169633835,3893.2489478485236,62.39590489646355,39.377689141836726,10
hmlasso__mida,-16.502103886395368,4109.394744230457,64.10456102517556,38.77380598386155,10
hmlasso__gtmcc,-18.826293056106934,4209.879552180228,64.8835846125985,40.68617067962937,10
