model,r2,mse,rmse,mae,seed_count
sst_xgb__knn插补,-0.7981292058274864,61.2199306203985,7.824316623220107,5.6385592770739,1
erc_xgb__miwae,-1.5216952565626036,53.88198104301792,7.340434663084872,5.85543788488363,1
lightgbm__mida,-1.2792023471949097,65.24150328096292,8.077221259874149,5.897700336338376,1
erc_xgb__knn插补,-0.7980531891991756,65.94413445873714,8.12059939036135,5.917659213999815,1
xgboost__miwae,-1.7560260536633596,52.28245047725261,7.23066044544014,5.9393401942978725,1
hist_gbr__miwae,-1.758435562837024,61.50960736533208,7.842806089999426,6.279766196505677,1
lightgbm__miwae,-1.7751016381362064,70.08550347718578,8.371708516019044,6.512285267204696,1
lightgbm__gain,-2.446342642361041,73.574063177591,8.577532464385722,6.642833691948997,1
hist_gbr__低秩矩阵,-2.5331690915344858,68.6477692876472,8.2853949385438,6.696385458469553,1
hist_gbr__gain,-2.4502155841499778,73.444018432351,8.569948566493908,6.709639686175733,1
xgboost__低秩矩阵,-2.5319649016193244,69.49822814480257,8.336559730776393,6.71824848543617,1
xgboost__gain,-2.632967728299461,72.46642993093165,8.512721652381902,6.756775814159574,1
erc_xgb__gain,-2.5622778686862957,73.6748047640302,8.583402866231445,6.774860186767284,1
sst_xgb__miwae,-1.5924950824483255,82.02607083760705,9.056824544927824,6.796051504429155,1
erc_xgb__mida,-1.3273633888382688,97.26801873694552,9.862455005572675,6.960980159608481,1
hist_gbr__mida,-1.3232058996629916,101.04991359713834,10.052358608661867,7.061519864887845,1
xgboost__mida,-1.3686667377707598,96.5757542022058,9.827296383146578,7.071549699138298,1
lightgbm__低秩矩阵,-2.657701914410265,78.7115800548676,8.871954691885414,7.197089556484688,1
sst_xgb__mida,-1.443725223928961,144.14417347806136,12.006005725388496,7.613666273797628,1
sst_xgb__gain,-2.6466260343056254,100.85339896121718,10.042579298228976,7.631111803788031,1
sst_xgb__低秩矩阵,-2.744078266449952,114.29126191159784,10.690709139790393,7.911336840303771,1
erc_xgb__低秩矩阵,-2.6318161037050034,98.28007250434668,9.913630641916546,7.982425812526048,1
hmlasso__knn插补,-14.415984952233128,3630.349174439568,60.25237899402453,36.291791122502815,1
hmlasso__vae_miwae,-14.62020083313922,3645.1801024810256,60.37532693477548,36.80802838549165,1
hmlasso__knn_based_method_matimputer,-15.55436828334443,3665.50156641774,60.54338581891287,37.39751578049294,1
hmlasso__低秩矩阵,-15.32787284823363,3817.9935827424206,61.78991489508964,37.51715136595633,1
hmlasso__gain,-15.672844331334089,3690.2769026055375,60.74764935868332,37.62016202277772,1
hmlasso__miwae,-15.584578864898855,3823.06032034713,61.83090101516498,37.70609974775749,1
hmlasso__sinkhorn,-16.540557219476646,3736.955411712912,61.13064216669829,38.19780864199391,1
hmlasso__vae,-16.56412963818444,3735.8603575816983,61.12168483919352,38.21241448446574,1
hmlasso__hmc_vae,-16.567196430531176,3736.525457867056,61.12712538527438,38.21584616094052,1
hmlasso__hver,-16.567984494113922,3736.3761106735697,61.12590376160969,38.21612674954396,1
hmlasso__vanilla,-16.568463512040843,3736.6220193172544,61.127915221421176,38.21708273812648,1
hmlasso__h_vae,-16.56886555764976,3736.5317137360894,61.12717655622652,38.21742426727864,1
hmlasso__hh_vaem,-16.573960499562205,3736.7291962666,61.12879187638669,38.22041078087796,1
hmlasso__堆叠,-16.653875525121826,3906.8688764209273,62.50495081528284,38.6081839145079,1
hmlasso__mice_iterativeimputer,-17.637973746905068,3803.97293677432,61.67635638374173,38.6928286069333,1
hmlasso__hyperimpute,-17.57733007051112,3806.2431974338488,61.69475826546246,38.73420759089365,1
hmlasso__mida,-16.502103886395368,4109.394744230457,64.10456102517556,38.77380598386155,1
hmlasso__softimpute,-17.775177169633835,3893.248947848524,62.39590489646355,39.377689141836726,1
hmlasso__gtmcc,-18.826293056106937,4209.879552180228,64.8835846125985,40.68617067962938,1
