1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Flexural strength
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40,160,16.76480041
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40,160,22.97764427
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40,160,27.05838797
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40,160,20.49414493
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40,160,26.93731311
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40,160,33.4929312
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40,160,26.98629635
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40,160,32.79609978
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,3,40,160,10.0
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,3,40,160,12.0
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,3,40,160,17.0
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,3,40,160,22.0
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,7,40,160,14.0
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,7,40,160,15.0
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,7,40,160,23.0
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,7,40,160,30.0
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,28,40,160,18.0
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,28,40,160,21.0
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,28,40,160,27.0
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,28,40,160,36.0
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,90,40,160,22.0
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,90,40,160,23.0
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,90,40,160,27.5
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,90,40,160,39.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,0.0,0.0,0,7,40,160,14.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,6,7,40,160,25.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,8,7,40,160,28.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,10,7,40,160,21.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,11,7,40,160,17.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,13,7,40,160,16.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,0.0,0.0,0,28,40,160,18.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,6,28,40,160,25.0
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,8,28,40,160,27.0
