1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40.0,160.0,110.97
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40.0,160.0,100.77
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40.0,160.0,108.89
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40.0,160.0,120.63
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40.0,160.0,105.63
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40.0,160.0,114.65
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40.0,160.0,133.59
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40.0,160.0,114.39
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40.0,160.0,123.41
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,100.92
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,88.32
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,94.94
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40.0,160.0,115.38
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40.0,160.0,101.28
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40.0,160.0,107.3
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40.0,160.0,125.04
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40.0,160.0,114.24
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40.0,160.0,121.16
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40.0,160.0,132.3
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40.0,160.0,126.0
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40.0,160.0,130.52
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40.0,160.0,146.16
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40.0,160.0,134.16
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,40.0,160.0,140.48
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40.0,160.0,155.82
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40.0,160.0,142.32
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,40.0,160.0,149.54
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,3,40.0,160.0,72.0
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,3,40.0,160.0,90.0
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,3,40.0,160.0,103.9
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,3,40.0,160.0,106.6
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,7,40.0,160.0,95.4
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,7,40.0,160.0,112.5
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,7,40.0,160.0,124.62
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,7,40.0,160.0,128.08
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,28,40.0,160.0,108.7
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,28,40.0,160.0,131.63
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,28,40.0,160.0,151.5
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,28,40.0,160.0,158.0
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,90,40.0,160.0,113.38
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,90,40.0,160.0,150.5
