1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength,Flexural strength,_merge
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,7.0,40.0,160.0,89.86,11.20669383,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,7.0,40.0,160.0,99.18,14.4842859,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,7.0,40.0,160.0,108.82,18.10459794,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,7.0,40.0,160.0,93.21,11.65551706,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,7.0,40.0,160.0,102.54,14.87544667,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,7.0,40.0,160.0,110.97,18.4959757,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,7.0,40.0,160.0,100.77,14.11878301,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,7.0,40.0,160.0,108.89,15.89991795,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,120.63,21.99526712,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,105.63,17.04248062,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,114.65,19.05388564,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,133.59,27.68133768,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,114.39,22.55610629,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,123.41,23.87680958,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,28.0,40.0,160.0,100.92,18.18368717,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,28.0,40.0,160.0,88.32,11.79216024,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,28.0,40.0,160.0,94.94,16.68115461,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,28.0,40.0,160.0,115.38,19.66848161,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,28.0,40.0,160.0,101.28,12.24103771,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,28.0,40.0,160.0,107.3,17.36030214,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,28.0,40.0,160.0,125.04,21.61397894,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,28.0,40.0,160.0,114.24,13.15045532,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,1.0,0.2,13.0,28.0,40.0,160.0,121.16,19.19036609,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,28.0,40.0,160.0,132.3,24.13479885,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,28.0,40.0,160.0,126.0,16.76480041,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,1.5,0.2,13.0,28.0,40.0,160.0,130.52,22.97764427,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,28.0,40.0,160.0,146.16,27.05838797,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,28.0,40.0,160.0,134.16,20.49414493,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,2.0,0.2,13.0,28.0,40.0,160.0,140.48,26.93731311,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,160.0,155.82,33.4929312,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,160.0,142.32,26.98629635,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,160.0,149.54,32.79609978,both
