1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Porosity
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,7,10.7
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,14,9.0
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,28,7.7
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,56,6.6
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,1,15.9
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,3,14.3
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,7,12.6
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,14,11.6
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,28,11.0
575.6,52.5,1,1,0.0,0.0,134.0,0.0,772.2,455.7,0,1.0,0.0,201.4,5.1,0.0,0,0,0.0,0.0,0,56,7.0
960.0,52.5,1,1,0.0,0.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,7,2.35
768.0,52.5,1,1,0.0,192.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,7,2.69
576.0,52.5,1,1,0.0,384.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,7,2.88
384.0,52.5,1,1,0.0,576.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,7,2.92
192.0,52.5,1,1,0.0,768.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,7,2.92
960.0,52.5,1,1,0.0,0.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,28,2.35
768.0,52.5,1,1,0.0,192.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,28,2.69
576.0,52.5,1,1,0.0,384.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,28,2.88
384.0,52.5,1,1,0.0,576.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,28,2.92
192.0,52.5,1,1,0.0,768.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,28,2.92
960.0,52.5,1,1,0.0,0.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,56,2.35
768.0,52.5,1,1,0.0,192.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,56,2.69
576.0,52.5,1,1,0.0,384.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,56,2.88
384.0,52.5,1,1,0.0,576.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,56,2.92
192.0,52.5,1,1,0.0,768.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,56,2.92
960.0,52.5,1,1,0.0,0.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,90,2.35
768.0,52.5,1,1,0.0,192.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,90,2.69
576.0,52.5,1,1,0.0,384.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,90,2.88
384.0,52.5,1,1,0.0,576.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,90,2.92
192.0,52.5,1,1,0.0,768.0,144.0,0.0,0.0,717.0,300,3.0,115.0,163.0,34.0,0.0,0,0,2.0,0.18,13,90,2.92
