,model,method,R2_kom,RMSE_kom,RRMSE_kom,R2,RMSE,RRMSE
12,RandomForestRegressor,gain,-2.2688877536806413,8.627442100735186,1.8080065690369163,[  0.5331161    0.75011053 -10.29414626  -0.06463139],[12.55378983  2.59413007 10.97589944  3.596319  ],[0.68328903 0.49988946 3.36067646 1.03180976]
13,Ridge,gain,-2.1635546357532767,13.84508410087534,1.7786384218703015,[-0.86335712 -0.27432742 -7.20826728 -0.30826672],[25.07947558  5.85812032  9.35705453  3.98663727],[1.36504839 1.12886112 2.86500738 1.14379488]
14,MultiTaskLasso,gain,-2.1829301966156653,14.391308207158412,1.7840768471721349,[-1.0502494  -0.26478453 -7.15584362 -0.26084323],[26.30714689  5.83614463  9.32712636  3.91371431],[1.4318692  1.1246264  2.85584377 1.12287276]
15,MultiTaskElasticNet,gain,-2.165434863468073,13.960577711050076,1.7791669015210667,[-0.90260144 -0.27171435 -7.19307229 -0.29435137],[25.34219994  5.85211106  9.34838972  3.96537869],[1.37934819 1.12770313 2.86235433 1.13769564]
16,MultiOutputRegressor,gain,-3.5379942598467604,19.65435057927988,2.130256853021898,[-3.06362285 -0.19954628 -9.38777283 -1.50103508],[37.03625789  5.68363627 10.5262732   5.5121175 ],[2.01584296 1.095238   3.2230068  1.58146612]
17,MultiOutputRegressor,gain,-3.5379942598467604,19.65435057927988,2.130256853021898,[-3.06362285 -0.19954628 -9.38777283 -1.50103508],[37.03625789  5.68363627 10.5262732   5.5121175 ],[2.01584296 1.095238   3.2230068  1.58146612]
18,RandomForestRegressor,sinkhorn,0.3547669733621248,6.108534376847994,0.8032639831573897,[0.64865875 0.66153403 0.0361802  0.07269492],[10.89017789  3.01908459  3.20635302  3.3563705 ],[0.59274046 0.58177829 0.98174324 0.96296681]
19,Ridge,sinkhorn,0.017617588973690812,9.69661193637013,0.991152062514279,[ 0.03158859 -0.00406612 -0.08425025  0.12719813],[18.08008012  5.19994714  3.4007772   3.25624002],[0.98407896 1.002031   1.04127338 0.93423866]
20,MultiTaskLasso,sinkhorn,0.003162804775714345,10.289626622691744,0.9984173452140571,[-0.11259904  0.01058937 -0.08184641  0.19650729],[19.37937392  5.16185806  3.39700526  3.1242771 ],[1.0547981  0.99469122 1.04011846 0.89637755]
21,MultiTaskElasticNet,sinkhorn,0.014858373815075876,9.849359790869583,0.9925430097405977,[-0.00490209  0.00046891 -0.08345947  0.14732614],[18.41756779  5.18819065  3.39953682  3.21847432],[1.00244805 0.99976552 1.04089359 0.92340341]
22,MultiOutputRegressor,sinkhorn,0.04867930464496953,9.422097282550423,0.9753567015994868,[ 0.09192787 -0.00639293 -0.00585226  0.11503453],[17.50775962  5.2059688   3.27552194  3.27885142],[0.95292819 1.00319137 1.00292186 0.94072603]
23,MultiOutputRegressor,sinkhorn,0.04867930464496953,9.422097282550423,0.9753567015994868,[ 0.09192787 -0.00639293 -0.00585226  0.11503453],[17.50775962  5.2059688   3.27552194  3.27885142],[0.95292819 1.00319137 1.00292186 0.94072603]
24,RandomForestRegressor,KNN,-0.9215568537202461,10.147957856010857,1.3862023134161356,[ 0.06524682 -0.42188986 -3.48177132  0.15218695],[17.76310483  6.18800635  6.91414149  3.20928749],[0.96682635 1.19243023 2.11701944 0.92076764]
25,Ridge,KNN,-0.7417320415041944,10.064228945753653,1.3197469611649781,[ 0.04546675 -0.06698238 -2.95636228  0.01094974],[17.95006119  5.3603901   6.49623073  3.46631284],[0.97700218 1.03294839 1.98906065 0.99451006]
26,MultiTaskLasso,KNN,-0.721690249418212,10.918301130726043,1.3121319481737392,[-0.17590403 -0.09945085 -2.86089148  0.24948536],[19.92307375  5.44133772  6.41737197  3.01952172],[1.08439109 1.04854702 1.96491513 0.86632248]
27,MultiTaskElasticNet,KNN,-0.7303377626425063,10.2759616028677,1.315423035621053,[-0.00873754 -0.07361271 -2.9265781   0.08757729],[18.45268184  5.37701928  6.47173217  3.32932826],[1.00435927 1.03615284 1.98155951 0.9552082 ]
28,MultiOutputRegressor,KNN,-0.9516420557721896,10.253431468802779,1.3970118309349386,[ 0.02680069 -0.0885258  -3.7770797   0.03223658],[18.12471966  5.41423541  7.13829775  3.42880808],[0.98650864 1.0433244  2.18565315 0.98374968]
29,MultiOutputRegressor,KNN,-0.9516420557721896,10.253431468802779,1.3970118309349386,[ 0.02680069 -0.0885258  -3.7770797   0.03223658],[18.12471966  5.41423541  7.13829775  3.42880808],[0.98650864 1.0433244  2.18565315 0.98374968]
30,RandomForestRegressor,MIDA,-1.905325272764739,7.576606420365904,1.7045014733829769,[ 0.74275213 -0.15928731 -7.37217943 -0.83258648],[9.31850619 5.58744568 9.45001895 4.71835718],[0.50719609 1.07670205 2.89347186 1.35373058]
31,Ridge,MIDA,-2.068498413335164,11.611262891992657,1.7517129939962093,[-0.13628468 -1.13391383 -6.50272272 -0.50107243],[19.58456715  7.58064592  8.94587579  4.27030995],[1.06596655 1.46079219 2.73910984 1.22518261]
32,MultiTaskLasso,MIDA,-2.0674791694864543,12.019177715597808,1.7514220420807929,[-0.2571544  -1.08472557 -6.5013879  -0.42664881],[20.59988101  7.49276685  8.94507997  4.1631026 ],[1.12122897 1.44385788 2.73886617 1.19442405]
33,MultiTaskElasticNet,MIDA,-2.066308616388258,11.707535392330117,1.7510878379990702,[-0.16499901 -1.11662995 -6.50408845 -0.47951706],[19.83047793  7.54988334  8.94668996  4.2395383 ],[1.0793512  1.45486424 2.73935913 1.216354  ]
