slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_046,5310,9270,250,35537,0.2,2401,-0.81,-2.78,-1.58,750,90,1062,1854,4248,1854,1062,7416,4248,7416,-289.808,-39.936,-136.944,-77.888,289.808,39.936,136.944,77.888
slab_047,6967,13809,180,32626,0.22,2444,-0.96,-2.51,-1.1,500,45,1393,2761,5573,2761,1393,11047,5573,11047,-415.16,-91.8,-241.32,-105.72,415.16,91.8,241.32,105.72
slab_048,7932,14109,220,30095,0.19,2458,-0.98,-2.2,-1.06,500,90,1586,2821,6345,2821,1586,11287,6345,11287,-593.468,-109.616,-246.272,-118.264,593.468,109.616,246.273,118.264
slab_049,5807,12110,180,35649,0.19,2497,-0.79,-2.49,-1.44,1000,90,1161,2422,4645,2422,1161,9688,4645,9688,-310.08,-55.552,-175.064,-101.312,310.08,55.552,175.063,101.312
slab_050,5472,14173,180,31041,0.2,2572,-0.75,-4.72,-3.2,1000,0,1094,2834,4377,2834,1094,11338,4377,11338,-352.224,-58.08,-366.024,-248.1,352.223,58.08,366.025,248.1
slab_051,7099,8898,200,29045,0.2,2472,-0.76,-4.79,-2.13,750,90,1419,1779,5679,1779,1419,7118,5679,7118,-306.496,-48.0,-302.432,-134.4,306.495,48.0,302.432,134.4
slab_052,6860,13660,220,30582,0.21,2578,-0.59,-4.47,-2.12,500,90,1372,2732,5488,2732,1372,10928,5488,10928,-521.94,-55.98,-418.804,-198.54,521.94,55.98,418.805,198.54
slab_053,5380,8756,250,33773,0.21,2497,-0.77,-3.96,-1.78,500,45,1076,1751,4304,1751,1076,7004,4304,7004,-288.328,-36.144,-186.648,-83.848,288.328,36.144,186.648,83.848
slab_054,6256,12809,250,35170,0.19,2561,-0.83,-4.19,-2.79,750,45,1251,2561,5004,2561,1251,10247,5004,10247,-503.272,-66.6,-335.824,-223.544,503.272,66.6,335.824,223.544
slab_055,7832,8931,250,33704,0.19,2496,-0.97,-3.99,-1.99,750,0,1566,1786,6265,1786,1566,7144,6265,7144,-428.184,-67.832,-279.2,-139.336,428.183,67.832,279.2,139.336
slab_056,5598,12787,180,34067,0.2,2414,-0.98,-3.6,-1.57,1000,0,1119,2557,4478,2557,1119,10229,4478,10229,-305.104,-70.08,-257.68,-112.384,305.104,70.08,257.68,112.384
slab_057,7886,8475,250,34626,0.19,2534,-0.83,-2.2,-1.41,750,0,1577,1695,6308,1695,1577,6780,6308,6780,-415.312,-55.464,-146.952,-94.388,415.311,55.464,146.952,94.388
slab_058,7213,9862,220,33885,0.22,2590,-0.66,-3.53,-2.0,1000,45,1442,1972,5770,1972,1442,7889,5770,7889,-397.632,-46.92,-251.096,-142.336,397.632,46.92,251.096,142.336
slab_059,6693,11071,180,31566,0.22,2461,-0.43,-3.77,-1.98,1000,0,1338,2214,5354,2214,1338,8856,5354,8856,-322.0,-31.864,-279.344,-146.648,321.999,31.864,279.343,146.648
slab_060,7099,14890,180,29701,0.18,2475,-0.86,-3.4,-2.36,500,90,1419,2978,5679,2978,1419,11912,5679,11912,-462.276,-91.452,-360.0,-250.2,462.277,91.451,360.0,250.2
slab_061,7419,13985,180,35335,0.19,2590,-0.89,-3.41,-2.03,1000,45,1483,2797,5935,2797,1483,11188,5935,11188,-474.428,-92.46,-353.888,-210.54,474.428,92.46,353.889,210.54
slab_062,5657,10660,200,31924,0.2,2519,-0.62,-4.59,-2.92,500,45,1131,2132,4525,2132,1131,8528,4525,8528,-297.988,-37.476,-276.832,-175.972,297.988,37.476,276.832,175.972
slab_063,4029,15256,220,32583,0.21,2586,-0.69,-4.51,-3.02,500,45,805,3051,3223,3051,805,12204,3223,12204,-343.104,-42.04,-277.508,-185.624,343.104,42.04,277.508,185.625
slab_064,7579,15413,250,33985,0.2,2557,-0.6,-2.46,-1.38,1000,45,1515,3082,6063,3082,1515,12330,6063,12330,-732.584,-70.064,-287.272,-161.2,732.584,70.064,287.272,161.201
slab_065,4414,10767,220,35699,0.22,2563,-0.91,-3.13,-1.69,750,90,882,2153,3531,2153,882,8613,3531,8613,-262.844,-43.2,-148.8,-80.4,262.844,43.2,148.8,80.4
slab_066,6467,14832,180,32633,0.19,2407,-0.61,-4.99,-2.85,500,90,1293,2966,5173,2966,1293,11865,5173,11865,-407.872,-59.004,-478.56,-273.6,407.871,59.005,478.56,273.6
slab_067,4667,12224,180,31083,0.22,2501,-0.68,-1.64,-0.73,1000,45,933,2444,3733,2444,933,9779,3733,9779,-251.956,-38.712,-93.6,-41.64,251.956,38.712,93.6,41.64
slab_068,6146,9778,180,29441,0.19,2466,-0.32,-1.67,-0.76,750,45,1229,1955,4916,1955,1229,7822,4916,7822,-261.72,-19.12,-100.376,-45.704,261.719,19.12,100.376,45.704
slab_069,6751,15660,250,30536,0.2,2516,-0.74,-3.77,-2.44,500,45,1350,3132,5400,3132,1350,12528,5400,12528,-652.536,-77.82,-399.0,-258.36,652.535,77.82,399.0,258.36
slab_070,6865,8694,200,30164,0.2,2569,-0.39,-2.41,-1.64,500,0,1373,1738,5492,1738,1373,6955,5492,6955,-301.12,-22.98,-144.06,-98.084,301.12,22.98,144.06,98.084
slab_071,4500,15322,200,30781,0.21,2556,-0.32,-4.32,-2.07,750,0,900,3064,3600,3064,900,12257,3600,12257,-345.776,-21.904,-298.048,-142.816,345.776,21.904,298.048,142.816
